"lon";"lat";"species";"datasetKey";"reference"
-83.081487;28.061411;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.454986;27.788515;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-83.094424;27.817011;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.978904;24.709932;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.273728;26.710763;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.345622;25.037989;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.561671;27.055386;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.598773;27.005389;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.823171;26.506848;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.194122;25.324597;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.327611;27.51467;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.882006;26.120531;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.239498;24.112012;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.942099;26.397052;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.997855;26.205016;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.036234;26.874097;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.371864;25.184856;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-71.30543;11.91617;"Epinephelus itajara";"038f4398-50d3-4643-86f3-a0dceba96125";"GBIF"
-80.74635;25.05074;"Epinephelus itajara";"875db04c-1fc5-4fbf-9b88-da643abde58d";"GBIF"
-80.67524;25.13695;"Epinephelus itajara";"875db04c-1fc5-4fbf-9b88-da643abde58d";"GBIF"
-81.238039;19.294793;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.082435;26.765038;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.838575;24.843115;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.634386;28.273346;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.619832;24.917104;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.603707;24.496211;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.495408;25.869268;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.327211;25.172923;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-78.71688;28.741401;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.150782;26.667586;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.201797;29.935048;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.50184;24.413313;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.968622;24.781878;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.552977;24.454441;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.424509;24.47047;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.5674;24.410463;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.525483;24.57675;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.037943;26.934053;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-78.918098;20.942051;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.07201;26.908674;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.979034;24.782164;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.715145;28.49614;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-87.849569;15.942702;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.178532;25.789539;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.895957;24.781045;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.267516;29.640671;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.903923;24.994739;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.350993;29.756837;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.874495;24.792761;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-81.687643;24.537681;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-82.002221;26.603821;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.842243;25.180412;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
-80.611679;24.969436;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF"
