"lon";"lat";"species";"datasetKey";"reference";"ID";"sst_mean";"sst_range";"ph_mean";"dissolved_oxygen";"bathymetry_mean";"cell";"sp"
-81.685014;24.427129;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";56;27.0312084482911;8.39471792624577;8.05697513846296;206.562854511965;-129.111114501953;2226079;1
-80.97901;24.771436;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";57;26.9410974907805;10.932671390516;8.0556374860249;205.563126763612;-1.13888883590698;2188286;1
-80.943775;24.908055;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";59;26.8694634116109;11.95250744759;8.05311971770426;205.782365312925;-2;2172084;1
-81.610087;25.848484;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";60;26.0089746744917;14.8679894479399;8.05188072766721;210.649663143551;-2.02777767181396;2074852;1
-82.873357;24.667096;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";61;26.524040400582;10.9163528022492;8.06184253620293;207.939136174177;-12.1944446563721;2199050;1
-85.664738;30.061397;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";62;23.3352198380358;15.9462821247602;8.07100694454035;221.581409880961;-9.25;1615686;1
-81.090725;25.076744;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";66;26.6159313047803;13.1566036809419;8.05236841071478;206.249690398446;-2;2155878;1
-80.519705;25.139715;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";68;26.739849578773;11.6195843828279;8.05661828592952;205.199746674099;-2;2150488;1
-81.739617;24.484616;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";69;26.9593560780125;9.40645731746146;8.05704576799181;206.931167143445;-24.4722213745117;2220677;1
-80.789738;24.880948;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";70;26.9888929788358;10.2334418166204;8.05383842688887;205.335004400943;-2.11111116409302;2177488;1
-81.195153;24.933813;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";71;26.7770393721816;12.4951370864844;8.05286617684425;206.067430077443;-2.58333325386047;2172079;1
-81.592388;24.42799;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";72;27.0380308631277;8.31464365457844;8.05685699925742;206.12812081336;-157.08332824707;2226081;1
-81.981362;24.454377;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";73;26.8784004292539;9.94495212046943;8.05812419041491;207.39112185486;-12.3888893127441;2220672;1
-81.369272;24.619255;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";74;26.9541417194386;9.81445229258064;8.05630474620395;205.789995405409;-3.66666674613953;2204481;1
-81.578047;24.55365;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";76;26.8860781956771;10.0542601985522;8.05671489117023;206.467887514333;-5;2209878;1
-80.976175;24.665761;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";78;27.0001563240554;9.3095905226421;8.0559207548547;205.517667759058;-14.3333330154419;2199088;1
-80.234506;25.086623;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";79;27.0454346766147;8.1230697785463;8.05782893557685;205.086708788288;-112.444442749023;2155895;1
-81.468973;25.869224;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";82;26.0251642637909;14.98676667168;8.05050909879048;210.248935742286;0;2069454;1
-80.038118;26.8578;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";83;26.4686582172893;8.77743040185944;8.05708306356727;205.607111345339;-18.5;1961463;1
-81.400568;24.629299;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";84;26.9428458731072;9.90988597856635;8.05644295356023;206.170352303892;-2.44444441795349;2204480;1
-80.439663;28.523622;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";85;24.9968265283113;10.5984428458393;8.07945431951201;211.874142495123;-12.777777671814;1783222;1
-81.954208;26.270433;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";86;25.7283574919229;15.2973198798982;8.05303774853931;211.840669385763;-10.277777671814;2026236;1
-81.582067;25.879436;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";88;25.9993863324946;14.9619868817994;8.05141994894902;210.53490227863;0;2069452;1
-82.900353;24.788462;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";91;26.4979591702587;11.1226408188803;8.06230475614013;208.15845185615;-41.4722213745117;2188247;1
-82.557823;27.115906;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";92;25.0840753414338;16.4149716443796;8.05659352154608;214.231431137611;-11.222222328186;1934407;1
-80.953136;24.736355;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";93;26.9602345997306;10.4639510502286;8.05572691303762;205.556986190962;-3.58333325386047;2193687;1
-81.182868;24.699992;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";94;26.9727084766019;10.2064397848832;8.05544408852659;205.631049896881;-4.55555534362793;2199084;1
-83.275318;14.062379;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";97;28.3647651909411;4.49233571214912;8.03853227056725;200.464958122677;-12.027777671814;3344054;1
